=== Wendlemire Human-vs-Human Balance (12-win curve) ===
Seeds/matchup: 24   Target: 15-25s @ 60tps
Knobs this pass: CombatBalance VitalHpScale=0.9 LimbHpScale=0.78 ArmorK=110 (ElvishLeaf diminishing, on-hit stacks free)
Sever dump: currentBlood * (subtree BloodAmount / body BloodAmount) on Severe()

--- Human blood shares if severed (subtree / body @ full pool) ---
  Weight total 1354   MaxBlood 5000
  Finger                   0.2%      11 blood
  Hand+digits              2.5%     127 blood
  Arm+hand                 8.5%     423 blood
  Foot                     2.2%     111 blood
  Leg+foot                12.6%     628 blood
  Head (own, not severable)   3.7%     185 blood
  Torso (own)             22.2%    1108 blood

Band    Matchup                                         med.s   mean   p10   p90  band%  Awin%  bleed%  organ%  sever%  loseB%  winB%   DPS  waste%  cap%  topCause
STEEL   Poleaxe vs Sword (leather)                       21.9   24.4  10.2  38.9     50     63       0     100      29     100    100  84.2       0     0  Torso was destroyed (Heart failed) (17)
STEEL   SteelSword vs Sword (leather)                    24.3   30.2  13.4  58.4     33     63       0     100      42     100    100  77.2       4     0  Torso was destroyed (Heart failed) (15)
STEEL   SteelAxe vs Sword (leather)                      29.1   25.3  13.4  36.6     33     67       0     100      46     100    100  72.5       0     0  Torso was destroyed (Heart failed) (15)
STEEL   Greatsword vs Maul (leather)                     22.2   25.8  13.4  30.8     46     79       4      96      38     103    100  79.1       4     0  Torso was destroyed (Heart failed) (12)
STEEL   Greatsword vs Poleaxe (leather)                  22.6   22.5  12.8  29.7     50     46       0     100      33     100    121  58.4       0     0  Torso was destroyed (Heart failed) (14)
STEEL   Maul vs Poleaxe (leather)                        23.3   26.2  12.8  45.0     38     29       0     100      42     100    123  48.0       0     0  Torso was destroyed (Heart failed) (8)
STEEL   SteelSword vs SteelAxe (leather)                 27.3   29.0  21.4  39.6     29     38       0     100      58      89    113  37.5       0     0  Torso was destroyed (Heart failed) (15)
STEEL   SteelSword+Dagger vs Greatsword (leather)        26.9   27.4  15.5  43.3     42     63       0     100      46     100    100  57.3       0     0  Torso was destroyed (Heart failed) (15)
STEEL   Dual-IronSword vs Greatsword (leather)           23.1   28.6  15.6  50.4     50     46       0     100      42     100    100  54.0       0     0  Torso was destroyed (Heart failed) (15)
STEEL   Greatsword vs Sword (chain)                      32.6   34.8  18.0  49.3     38     63       4      96      42     100    100  54.7       4     0  Torso was destroyed (Heart failed) (15)
STEEL   SteelSword vs Sword (chain)                      32.0   36.4  18.0  49.3     17     67       4      96      50      93    100  52.3       4     0  Torso was destroyed (Heart failed) (15)
STEEL   Greatsword vs Sword (plate)                      35.7   36.6  20.9  53.8     17     83       0     100      46     100    100  46.3       0     0  Torso was destroyed (Heart failed) (12)
